,Name,Description,geometry,route_type,branch_no
30,AMPBRMC005 (TOWN),"SERING UKAY	12.8km<br>UKAY BOULEVARD	12.9km<br>TAMAN KELAB UKAY	13.5km<br>BUKIT ANTARABANGSA	14.2km<br>TAMAN BUKIT UTAMA	14.2km<br>KAMPUNG PASIR	14.4km<br>TAMAN ANDAMAN UKAY	14.4km<br>TAMAN BUKIT MULIA	14.5km<br>JALAN DATUK ABU SAMAH, TAMAN ZOO VIEW	15.4km<br>JALAN BULBUL, TAMAN ZOO VIEW	15.6km<br>ZOO VIEW VILLA	15.7km<br>JALAN HAJI MOKTAR, TAMAN ZOO VIEW	15.8km<br>JALAN KASAWARI, TAMAN ZOO VIEW	15.8km<br>KEMENSAH HEIGHT	16.1km","POLYGON ((101.75516 3.207553, 101.757381 3.204875, 101.759441 3.20179, 101.7603 3.199219, 101.761673 3.195791, 101.761158 3.19322, 101.761673 3.190392, 101.761501 3.187136, 101.760214 3.183879, 101.758326 3.18118, 101.756909 3.179808, 101.755751 3.175181, 101.754806 3.172738, 101.755107 3.171538, 101.757081 3.170938, 101.759313 3.170896, 101.76133 3.17111, 101.761973 3.171667, 101.763733 3.174624, 101.76648 3.173167, 101.770084 3.174624, 101.772058 3.175481, 101.774118 3.176423, 101.774719 3.178651, 101.775406 3.18028, 101.775835 3.182765, 101.776693 3.185164, 101.775921 3.188421, 101.779097 3.192706, 101.781285 3.197505, 101.783345 3.202732, 101.785577 3.204704, 101.788066 3.205475, 101.790898 3.208474, 101.793087 3.216572, 101.793087 3.220257, 101.784933 3.2215, 101.781221 3.224478, 101.783088 3.225056, 101.78401 3.22722, 101.779418 3.229641, 101.778045 3.22932, 101.778517 3.227563, 101.776693 3.227498, 101.776436 3.225742, 101.776908 3.225335, 101.778217 3.225742, 101.779397 3.224778, 101.779397 3.224071, 101.769205 3.214858, 101.763926 3.214751, 101.760815 3.214173, 101.754667 3.208903, 101.75516 3.207553))",MOTOR ROUTE COVERAGE,AMP (KLR - MEDIUM)
31,AMPBRMC006 (TOWN),TAMAN MAJU JAYA	3.9km<br>TAMAN CHERAS INDAH	4km<br>TAMAN KENCANA (JALAN 32)	4.2km<br>TAMAN SHAMELIN PERKASA	5.1km<br>JALAN SHAMELIN NIAGA	5.8km,"POLYGON ((101.74586 3.131668, 101.741782 3.130639, 101.741053 3.130318, 101.739487 3.129568, 101.737169 3.128432, 101.735066 3.127297, 101.734307 3.12687, 101.735422 3.125349, 101.736174 3.124128, 101.736903 3.123163, 101.736045 3.122135, 101.734736 3.123506, 101.73392 3.123163, 101.733406 3.122671, 101.731882 3.120914, 101.730916 3.119735, 101.732719 3.117764, 101.733684 3.118728, 101.734586 3.117914, 101.735229 3.117228, 101.735337 3.116714, 101.736088 3.115729, 101.736957 3.115911, 101.737826 3.116189, 101.738234 3.116286, 101.738577 3.116468, 101.738673 3.116618, 101.738566 3.117143, 101.73848 3.117561, 101.738979 3.118102, 101.739296 3.11845, 101.739424 3.118685, 101.739385 3.118859, 101.739192 3.118956, 101.739042 3.119256, 101.739044 3.119486, 101.739334 3.119861, 101.739731 3.120407, 101.740235 3.120975, 101.740514 3.121372, 101.740632 3.121618, 101.740536 3.122079, 101.740493 3.122528, 101.740568 3.122893, 101.740707 3.123278, 101.740911 3.123868, 101.740976 3.124103, 101.740772 3.124532, 101.740933 3.124618, 101.741158 3.124039, 101.741319 3.12376, 101.741705 3.12376, 101.741995 3.123889, 101.742853 3.124285, 101.743518 3.124542, 101.744044 3.124778, 101.744621 3.124974, 101.745012 3.125078, 101.745602 3.125199, 101.746568 3.125177, 101.746654 3.125466, 101.74659 3.126034, 101.74659 3.126645, 101.746622 3.127245, 101.746507 3.129874, 101.74586 3.131668))",MOTOR ROUTE COVERAGE,AMP (KLR - MEDIUM)
32,AMPBRMC006 (TOWN),WARISAN CITYVIEW 6.5km<br>CHERAS BATU 2½ 6.7km,"POLYGON ((101.724669 3.126046, 101.724938 3.126485, 101.724272 3.126807, 101.723607 3.12715, 101.722749 3.127621, 101.721955 3.128092, 101.721311 3.128521, 101.719959 3.129485, 101.719359 3.129935, 101.718886 3.130428, 101.718629 3.129892, 101.71908 3.129442, 101.719423 3.129271, 101.719251 3.128928, 101.718801 3.128371, 101.718093 3.127428, 101.717599 3.126828, 101.717985 3.126314, 101.718758 3.125971, 101.718372 3.12475, 101.717771 3.124, 101.717878 3.123636, 101.718414 3.123036, 101.718951 3.122307, 101.719959 3.121514, 101.72041 3.121943, 101.721526 3.123036, 101.721848 3.123786, 101.722127 3.125103, 101.72173 3.125318, 101.720238 3.12581, 101.720324 3.12625, 101.720592 3.126646, 101.721215 3.126218, 101.721987 3.125853, 101.722384 3.126089, 101.722663 3.126592, 101.722835 3.126903, 101.724669 3.126046))",MOTOR ROUTE COVERAGE,AMP (KLR - MEDIUM)
33,AMPBRMC007 (TOWN),CHERAS BUSINESS CENTRE	5.6km<br>TAMAN CHERAS MAKMUR	6.9km<br>TAMAN MUTIARA TIMUR	7.2km<br>TAMAN DESA AMAN	7.5km<br>TAMAN SEGAR	7.6km<br>BAYU SEGAR	7.7km<br>JALAN JINTAN	7.8km<br>TAMAN BAYU SEGAR	7.9km<br>PINGGIRAN BUKIT SEGAR	8km<br>TAMAN GEMILANG	8km<br>TAMAN SUPREME	8km<br>IBU PEJABAT JABATAN PERHILITAN	8.5km<br>TAMAN BUKIT SEGAR	10.4km,"POLYGON ((101.748284 3.10292, 101.74691 3.102942, 101.74573 3.103049, 101.744915 3.102942, 101.743627 3.102642, 101.742833 3.102642, 101.741717 3.10247, 101.741245 3.10262, 101.741074 3.10232, 101.740516 3.102384, 101.740108 3.102599, 101.739936 3.102106, 101.739507 3.101099, 101.73867 3.10007, 101.737962 3.099385, 101.737984 3.098935, 101.738456 3.097992, 101.739786 3.094264, 101.740408 3.092014, 101.741245 3.09, 101.741739 3.08805, 101.742168 3.087472, 101.742447 3.084494, 101.74264 3.083336, 101.743219 3.082308, 101.744464 3.082136, 101.745644 3.083765, 101.745215 3.084494, 101.745301 3.085393, 101.745365 3.085993, 101.74558 3.086122, 101.745708 3.086808, 101.746352 3.087665, 101.74764 3.088929, 101.748648 3.089979, 101.750708 3.091757, 101.751395 3.092657, 101.751481 3.093514, 101.751588 3.094714, 101.751588 3.095335, 101.751588 3.095978, 101.751137 3.096321, 101.750129 3.096321, 101.749442 3.096064, 101.749464 3.096899, 101.749721 3.097156, 101.750022 3.097478, 101.749871 3.097692, 101.749442 3.097692, 101.748477 3.097992, 101.748412 3.098806, 101.748284 3.10292))",MOTOR ROUTE COVERAGE,AMP (KLR - MEDIUM)
34,AMPBRMC008 (TOWN),PARAGON POINT SHOPPING CENTRE	1.9km<br>TAMAN SERAYA	2.4km<br>TAMAN LEMBAH MAJU	2.5km<br>TAMAN MAWAR	3.1km<br>TAMAN KENCANA	3.3km<br>TAMAN MUDA	3.3km<br>TAMAN PINGGIRAN CHERAS	3.6km<br>TAMAN BUKIT PERMAI	3.7km<br>KAMPUNG CHERAS BARU (ALL BUKIT C)	4km<br>TAMAN BUKIT PANDAN	4.2km<br>JALAN MATAHARI,"POLYGON ((101.762918 3.121392, 101.762564 3.121376, 101.7622 3.121472, 101.761964 3.12174, 101.76191 3.121933, 101.761749 3.122018, 101.761438 3.121975, 101.761116 3.121997, 101.760397 3.122361, 101.76015 3.122715, 101.760043 3.123154, 101.760064 3.123722, 101.760172 3.124032, 101.760622 3.124332, 101.761438 3.124418, 101.761749 3.124493, 101.761942 3.124782, 101.762049 3.125843, 101.76176 3.125918, 101.761416 3.126004, 101.761277 3.126046, 101.76133 3.126432, 101.76133 3.126603, 101.761341 3.126786, 101.761255 3.126882, 101.76103 3.126957, 101.760783 3.126968, 101.760494 3.126871, 101.759614 3.126871, 101.757114 3.126903, 101.752994 3.127086, 101.752994 3.1261, 101.752994 3.125168, 101.752415 3.125168, 101.75057 3.125146, 101.750033 3.125114, 101.749357 3.12535, 101.748778 3.125628, 101.748295 3.125746, 101.747909 3.125971, 101.747555 3.125875, 101.747501 3.124514, 101.747512 3.12324, 101.747201 3.121033, 101.746975 3.120272, 101.746922 3.11904, 101.74689 3.118397, 101.746868 3.117326, 101.746825 3.116137, 101.746482 3.115387, 101.74602 3.114155, 101.745677 3.113309, 101.745226 3.112002, 101.744604 3.110523, 101.744089 3.109313, 101.743692 3.108477, 101.743231 3.107615, 101.744089 3.10725, 101.744615 3.107047, 101.745495 3.106608, 101.746096 3.106393, 101.746578 3.106329, 101.746986 3.106415, 101.748123 3.106886, 101.748992 3.107432, 101.749851 3.107947, 101.750795 3.108525, 101.751771 3.109082, 101.752308 3.10935, 101.752683 3.109468, 101.752887 3.109125, 101.753359 3.108868, 101.753767 3.108622, 101.754314 3.108836, 101.754368 3.109254, 101.754475 3.109522, 101.755054 3.109822, 101.755505 3.109779, 101.755398 3.109275, 101.755076 3.108814, 101.754807 3.108311, 101.754464 3.108, 101.753992 3.107475, 101.754099 3.107058, 101.7544 3.106693, 101.754872 3.105965, 101.755408 3.105194, 101.755473 3.104829, 101.75558 3.104336, 101.75603 3.103586, 101.75646 3.10288, 101.756782 3.102087, 101.757404 3.101958, 101.758069 3.102172, 101.758262 3.101615, 101.758734 3.101487, 101.759078 3.10168, 101.759464 3.102365, 101.759635 3.102901, 101.759828 3.103244, 101.759979 3.103608, 101.760258 3.103822, 101.7603 3.104294, 101.760022 3.104936, 101.760644 3.104894, 101.761352 3.105086, 101.761502 3.105386, 101.761567 3.106115, 101.761309 3.106865, 101.761255 3.107647, 101.761416 3.107979, 101.761588 3.108375, 101.761717 3.10875, 101.76176 3.10934, 101.761706 3.109939, 101.76162 3.110336, 101.761502 3.110807, 101.761363 3.111214, 101.761191 3.111761, 101.76103 3.112457, 101.760901 3.112896, 101.760912 3.113196, 101.761094 3.113368, 101.76177 3.113539, 101.762339 3.113646, 101.762897 3.113582, 101.762972 3.113078, 101.763101 3.112564, 101.763541 3.112671, 101.764131 3.112853, 101.764742 3.113035, 101.764506 3.113475, 101.764206 3.114118, 101.763809 3.115028, 101.76353 3.115682, 101.763283 3.11626, 101.76323 3.116506, 101.763262 3.117085, 101.762918 3.121392))",MOTOR ROUTE COVERAGE,AMP (KLR - MEDIUM)
35,AMPBRMC009 (TOWN),HATTA SQUARE	0.2km<br>HATA INDUSTRIAL CENTRE	0.35km<br>TAMAN PANDAN MEWAH	0.6km<br>JALAN IKAN EMAS	1.3km<br>TAMAN PUTRA	1.3km<br>PUTRI PARK PLAZA	1.4km<br>KAMPUNG AMPANG CAMPURAN	1.6km<br>PANGSAPURI SERI NILAM	2.1km<br>KAMPUNG BARU AMPANG TAMBAHAN	2.2km<br>MERDEKA RIA INDUSTRIAL PARK	2.4km<br>JALAN MERDEKA	2.8km<br>MERDEKA VILLA APARTMENT	2.8km<br>KAMPUNG BARU AMPANG	3km<br>PANDAN CAHAYA	3.7km<br>PANDAN RIA APARTMENT	3.9km<br>TAMAN CAHAYA	3.9km,"POLYGON ((101.760459 3.145817, 101.760007 3.145426, 101.76005 3.145084, 101.760157 3.144709, 101.760308 3.144323, 101.760232 3.143916, 101.760114 3.143434, 101.7599 3.142802, 101.75931 3.142084, 101.758688 3.141527, 101.758205 3.141066, 101.757572 3.140466, 101.757196 3.140252, 101.756402 3.139995, 101.755823 3.139663, 101.755415 3.139449, 101.755415 3.139245, 101.755716 3.138934, 101.755855 3.138592, 101.756059 3.138302, 101.756434 3.137713, 101.756992 3.137231, 101.757582 3.136963, 101.757797 3.136792, 101.757486 3.136471, 101.757143 3.136064, 101.756756 3.135614, 101.756992 3.135378, 101.757325 3.135003, 101.757507 3.134756, 101.757561 3.134424, 101.757432 3.13346, 101.758033 3.13331, 101.759009 3.133171, 101.760072 3.132994, 101.76122 3.13285, 101.761681 3.132823, 101.762126 3.132801, 101.762518 3.132635, 101.762609 3.132491, 101.762716 3.132255, 101.763065 3.132202, 101.763162 3.132078, 101.763156 3.131821, 101.763011 3.13143, 101.762636 3.13097, 101.762475 3.130862, 101.761745 3.130627, 101.76108 3.130498, 101.761005 3.130145, 101.760941 3.128773, 101.760866 3.128441, 101.760876 3.128152, 101.760674 3.12737, 101.760931 3.127198, 101.761553 3.127005, 101.76151 3.126212, 101.762283 3.12602, 101.762154 3.124456, 101.761811 3.124284, 101.760781 3.124177, 101.760352 3.123791, 101.760266 3.12317, 101.760416 3.122634, 101.761038 3.12227, 101.761918 3.122292, 101.762133 3.122227, 101.76224 3.121734, 101.76254 3.121542, 101.76312 3.121563, 101.763184 3.12062, 101.763549 3.120599, 101.764557 3.12077, 101.765437 3.121028, 101.766338 3.121028, 101.767004 3.121199, 101.767089 3.121413, 101.76681 3.121649, 101.76666 3.122549, 101.766531 3.123706, 101.766488 3.124391, 101.766488 3.124884, 101.766832 3.125056, 101.767347 3.125248, 101.76799 3.125698, 101.767647 3.126362, 101.767969 3.126791, 101.768548 3.127434, 101.768763 3.127969, 101.769085 3.128248, 101.769536 3.128098, 101.769922 3.127905, 101.770308 3.128162, 101.770394 3.128398, 101.770072 3.128891, 101.769857 3.129234, 101.769879 3.129598, 101.770587 3.130305, 101.771574 3.130948, 101.77269 3.131376, 101.773462 3.132276, 101.774149 3.13339, 101.771874 3.135404, 101.769857 3.136475, 101.7696 3.135661, 101.76887 3.135147, 101.768227 3.13489, 101.767411 3.135704, 101.766724 3.13639, 101.765909 3.137675, 101.765652 3.138532, 101.76518 3.138875, 101.764579 3.139175, 101.764364 3.139861, 101.764493 3.140503, 101.765051 3.140975, 101.764836 3.141746, 101.76445 3.142132, 101.764493 3.142774, 101.763978 3.143503, 101.762433 3.144017, 101.762304 3.144531, 101.762218 3.145474, 101.760459 3.145817))",MOTOR ROUTE COVERAGE,AMP (KLR - MEDIUM)
36,AMPBRMC010 (TOWN),KETUMBAR HILL	4.7km<br>KAMPUNG CHERAS BARU BUKIT A	5.5km<br>TAMAN RAKYAT	6km<br>TAMAN KOBENA	6.4km<br>TAMAN PERTAMA	6.4km<br>TAMAN SRI BAHTERA	6.5km<br>TAMAN PUDU ULU	8.1km<br>PGRM	8.3km<br>TAMAN CHERAS UTAMA	14.3km<br>TAMAN BUKIT MEWAH	14.9km<br>TAMAN CANTEK,"POLYGON ((101.730145 3.123182, 101.727822 3.12165, 101.727629 3.120622, 101.727608 3.120129, 101.727908 3.119872, 101.728509 3.119679, 101.728273 3.118351, 101.728187 3.116937, 101.728338 3.115458, 101.728767 3.114259, 101.729148 3.113337, 101.729405 3.112362, 101.729791 3.111323, 101.73007 3.110327, 101.730456 3.108956, 101.730896 3.107349, 101.731712 3.105999, 101.732484 3.104885, 101.733149 3.103963, 101.734008 3.102892, 101.734458 3.102249, 101.735123 3.101478, 101.736089 3.100835, 101.736776 3.1003, 101.737183 3.100064, 101.737913 3.100192, 101.738621 3.100621, 101.739179 3.101199, 101.739436 3.101735, 101.739866 3.102914, 101.740359 3.102828, 101.74096 3.102549, 101.741153 3.102871, 101.741625 3.102806, 101.742548 3.102892, 101.744007 3.103106, 101.745423 3.103299, 101.746861 3.103256, 101.748513 3.103128, 101.74862 3.101671, 101.748792 3.098371, 101.749393 3.097985, 101.750487 3.098007, 101.75083 3.098392, 101.750745 3.098992, 101.751131 3.09955, 101.751281 3.100278, 101.750723 3.100985, 101.751539 3.101392, 101.752719 3.102035, 101.753577 3.102464, 101.754092 3.102849, 101.754478 3.103513, 101.754843 3.10407, 101.755122 3.104906, 101.754028 3.106577, 101.753727 3.107092, 101.753663 3.107692, 101.754328 3.108163, 101.7548 3.108677, 101.755036 3.109298, 101.754736 3.109277, 101.754564 3.108763, 101.754114 3.108377, 101.753513 3.10842, 101.752998 3.108741, 101.752504 3.108977, 101.751603 3.108549, 101.750423 3.107906, 101.749264 3.107199, 101.747934 3.106406, 101.747097 3.10602, 101.745917 3.106106, 101.743234 3.107284, 101.741625 3.108034, 101.74066 3.108313, 101.740466 3.108613, 101.739801 3.109213, 101.739115 3.109448, 101.738406 3.109213, 101.737205 3.108806, 101.736497 3.108806, 101.735896 3.109063, 101.735445 3.109406, 101.735478 3.109866, 101.735553 3.110123, 101.735703 3.110316, 101.735799 3.110723, 101.735778 3.111141, 101.73552 3.111238, 101.735016 3.111184, 101.734566 3.111238, 101.733986 3.111452, 101.7336 3.111516, 101.733675 3.111677, 101.733986 3.11173, 101.734469 3.112137, 101.735038 3.112673, 101.734726 3.11323, 101.734437 3.113862, 101.734319 3.114419, 101.734437 3.115062, 101.734179 3.115855, 101.732935 3.117269, 101.730682 3.119733, 101.731798 3.121104, 101.730145 3.123182))",MOTOR ROUTE COVERAGE,AMP (KLR - MEDIUM)
37,AMPBRMC011 (TOWN),TAMAN KOSAS	3.5km<br>AMPANG JAYA	4km<br>TAMAN RASMI JAYA	4.2km<br>TAMAN BUKIT INDAH	4.4km<br>KAMPUNG MELAYU AMPANG	4.7km<br>TAMAN DATO AHMAD RAZALI	5.4km,"POLYGON ((101.755649 3.154215, 101.756717 3.15363, 101.757425 3.153287, 101.758262 3.152966, 101.759206 3.15243, 101.759786 3.152109, 101.760708 3.15168, 101.761116 3.151338, 101.760837 3.150823, 101.761609 3.150266, 101.762103 3.149731, 101.76324 3.149131, 101.764592 3.148338, 101.765601 3.147824, 101.766867 3.147288, 101.768412 3.146646, 101.770042 3.14596, 101.770729 3.14521, 101.771287 3.14476, 101.771995 3.144182, 101.773025 3.14401, 101.774892 3.144139, 101.776522 3.144117, 101.777939 3.144074, 101.7784 3.144074, 101.778754 3.144149, 101.77899 3.144278, 101.779323 3.144492, 101.779688 3.144482, 101.780138 3.144053, 101.780739 3.143807, 101.781157 3.143817, 101.781479 3.143924, 101.781597 3.144203, 101.78178 3.144535, 101.781919 3.14506, 101.781898 3.145264, 101.781844 3.145542, 101.781586 3.145864, 101.781286 3.146121, 101.780943 3.146367, 101.780975 3.146785, 101.781243 3.147245, 101.781458 3.147749, 101.781554 3.14807, 101.781662 3.148424, 101.781544 3.149077, 101.781334 3.14995, 101.781485 3.1504, 101.781559 3.151055, 101.781301 3.151569, 101.781044 3.152255, 101.780979 3.15294, 101.781301 3.153348, 101.781666 3.154055, 101.781838 3.154826, 101.782052 3.155297, 101.782074 3.155876, 101.781838 3.156561, 101.783554 3.160032, 101.783769 3.160782, 101.783984 3.161532, 101.783404 3.16211, 101.782675 3.162475, 101.781988 3.162453, 101.781323 3.16181, 101.780486 3.160268, 101.779542 3.158447, 101.779241 3.157932, 101.778791 3.157868, 101.778254 3.158254, 101.777782 3.15849, 101.776881 3.158768, 101.776023 3.158875, 101.774649 3.158704, 101.774628 3.158854, 101.774263 3.159496, 101.773727 3.159711, 101.773233 3.159925, 101.772654 3.159861, 101.772225 3.159818, 101.772053 3.159625, 101.77216 3.15894, 101.772289 3.158125, 101.771774 3.157825, 101.771345 3.15744, 101.77113 3.157611, 101.770615 3.157547, 101.7701 3.157525, 101.770057 3.157847, 101.769736 3.158082, 101.769392 3.158082, 101.769392 3.158468, 101.769049 3.159475, 101.768684 3.160289, 101.768663 3.160782, 101.768534 3.161146, 101.768555 3.16151, 101.768298 3.161832, 101.767869 3.162025, 101.76744 3.162153, 101.766968 3.162368, 101.766667 3.162625, 101.766517 3.162946, 101.766453 3.163139, 101.766195 3.163203, 101.765466 3.163074, 101.764908 3.162924, 101.763856 3.162603, 101.762719 3.162175, 101.761689 3.161768, 101.761131 3.161382, 101.760058 3.160846, 101.758964 3.160418, 101.759028 3.160182, 101.759007 3.159625, 101.758578 3.159304, 101.758342 3.158811, 101.757955 3.158147, 101.757526 3.157354, 101.757226 3.156733, 101.756915 3.156133, 101.756689 3.155747, 101.755649 3.154215))",MOTOR ROUTE COVERAGE,AMP (KLR - MEDIUM)
38,AMPBRVC001 (TOWN),SUNGAI SERING CHERAS	12.5km<br>TAMAN SERING UKAY	13.8km<br>BUKIT ANTARABANGSA	14.2km<br>TAMAN BUKIT MULIA	14.5km<br>UKAY PERDANA	15.3km,"POLYGON ((101.787948 3.21862, 101.785137 3.216928, 101.778485 3.218534, 101.771189 3.211357, 101.764065 3.210372, 101.763186 3.208615, 101.765782 3.208186, 101.769773 3.204759, 101.770352 3.203623, 101.770159 3.201866, 101.766919 3.199638, 101.76811 3.199054, 101.768614 3.19824, 101.76856 3.197736, 101.768274 3.197738, 101.767123 3.195669, 101.76679 3.195337, 101.765395 3.19539, 101.765213 3.194094, 101.765363 3.192198, 101.767412 3.192037, 101.768131 3.190613, 101.767509 3.189049, 101.765664 3.188385, 101.762445 3.187785, 101.76193 3.185117, 101.763668 3.184828, 101.762781 3.180812, 101.76282 3.179151, 101.763078 3.177994, 101.763114 3.171096, 101.774722 3.171675, 101.776299 3.187197, 101.780162 3.192467, 101.790762 3.206821, 101.791277 3.21432, 101.787948 3.21862))",VAN ROUTE COVERAGE,AMP (KLR - MEDIUM)
39,AMPBRVC002 (TOWN),AMPANG JAYA	4km<br>TAMAN RASMI JAYA	4.2km<br>TAMAN BUKIT INDAH	4.4km<br>KAMPUNG MELAYU AMPANG	4.7km<br>TAMAN TAR	6.3km<br>TAMAN HIJAU	9.3km,"POLYGON ((101.774551 3.171718, 101.763114 3.171096, 101.760281 3.169875, 101.75909 3.166972, 101.759176 3.165912, 101.757664 3.165397, 101.7582 3.162537, 101.752063 3.162601, 101.751033 3.160566, 101.74879 3.15809, 101.751772 3.156612, 101.752631 3.156055, 101.754283 3.154512, 101.759701 3.151866, 101.76324 3.149131, 101.766078 3.14747, 101.768786 3.152317, 101.778463 3.145525, 101.780971 3.143574, 101.781679 3.144892, 101.781797 3.146167, 101.781138 3.153303, 101.782061 3.157695, 101.783756 3.161702, 101.774551 3.171718))",VAN ROUTE COVERAGE,AMP (KLR - MEDIUM)
40,AMPBRVC003 (TOWN),TAMAN AMPANG MEWAH	3.6km<br>TAMAN PANDAN CAHAYA	4.6km<br>TAMAN CEMPAKA	4.7km<br>TAMAN NIRWANA	4.7km<br>TAMAN DAGANG	4.8km<br>TAMAN AMPANG UTAMA	5.8km,"MULTIPOLYGON (((101.743423 3.139356, 101.743235 3.13993, 101.743235 3.139924, 101.743423 3.139335, 101.74343 3.139338, 101.743423 3.139356)), ((101.743224 3.140278, 101.743213 3.14062, 101.743369 3.140792, 101.743208 3.140631, 101.743229 3.139946, 101.743235 3.13993, 101.743224 3.140278)), ((101.74343 3.139338, 101.744742 3.13626, 101.745804 3.134236, 101.755149 3.139731, 101.756994 3.137257, 101.757764 3.13679, 101.758515 3.136798, 101.758478 3.137502, 101.759336 3.139174, 101.75995 3.139401, 101.760575 3.138941, 101.761551 3.138796, 101.762109 3.139514, 101.762048 3.139824, 101.762166 3.13999, 101.761621 3.140818, 101.76069 3.140218, 101.760454 3.140448, 101.760712 3.140689, 101.760803 3.140593, 101.763032 3.142034, 101.763107 3.142195, 101.761862 3.143202, 101.76244 3.144164, 101.763012 3.144721, 101.763653 3.144722, 101.763363 3.147716, 101.763127 3.14875, 101.761267 3.150666, 101.759872 3.151823, 101.757963 3.152702, 101.754454 3.154469, 101.752802 3.156012, 101.751944 3.156569, 101.748961 3.158047, 101.747867 3.156269, 101.747127 3.153602, 101.746955 3.152059, 101.748221 3.151577, 101.748253 3.150302, 101.749551 3.150291, 101.749557 3.149472, 101.749954 3.14945, 101.7499 3.146654, 101.750249 3.145985, 101.750265 3.141389, 101.750415 3.140607, 101.749592 3.140401, 101.747945 3.139844, 101.744619 3.139822, 101.74343 3.139338)))",VAN ROUTE COVERAGE,AMP (KLR - MEDIUM)
41,AMPBRVC004 (TOWN),KAMPUNG AMPANG CAMPURAN	1.6km<br>TAMAN SRI WATAN	2.9km<br>KAMPUNG BARU AMPANG	3km<br>TAMAN DAGANG JAYA	3.1km<br>AMPANG WATERFRONT	3.3km<br>BANDAR BARU AMPANG	3.5km,"POLYGON ((101.757454 3.134948, 101.757658 3.134621, 101.757502 3.133464, 101.761917 3.132634, 101.766445 3.135302, 101.766718 3.135387, 101.767464 3.135077, 101.767775 3.134134, 101.766896 3.133952, 101.766579 3.133325, 101.768253 3.132115, 101.768757 3.132066, 101.768521 3.130963, 101.770366 3.129174, 101.771519 3.130526, 101.773273 3.131544, 101.77418 3.132304, 101.774555 3.131865, 101.776084 3.131854, 101.776293 3.132337, 101.778401 3.132004, 101.7789 3.132658, 101.779737 3.135508, 101.780252 3.137864, 101.779962 3.143339, 101.78047 3.143405, 101.78047 3.143565, 101.779998 3.144069, 101.779226 3.14423, 101.77915 3.143705, 101.773336 3.143769, 101.772713 3.143769, 101.771866 3.14423, 101.770299 3.145729, 101.766383 3.147674, 101.766249 3.147427, 101.763309 3.148857, 101.7631 3.148788, 101.763336 3.147754, 101.763626 3.14476, 101.762985 3.144758, 101.762414 3.144201, 101.761836 3.143239, 101.76308 3.142232, 101.763005 3.142071, 101.760776 3.14063, 101.760685 3.140727, 101.760428 3.140486, 101.760664 3.140256, 101.761594 3.140856, 101.762139 3.140028, 101.762021 3.139862, 101.762082 3.139551, 101.761525 3.138834, 101.760548 3.138978, 101.759923 3.139439, 101.759309 3.139211, 101.758451 3.13754, 101.758488 3.136836, 101.757737 3.136828, 101.757437 3.135912, 101.757005 3.135906, 101.756919 3.135796, 101.75685 3.13559, 101.757217 3.135371, 101.757454 3.134948))",VAN ROUTE COVERAGE,AMP (KLR - MEDIUM)
42,AMPBRVC004 (TOWN),TAMAN KOSAS	3.5km,"POLYGON ((101.766383 3.147674, 101.770299 3.145729, 101.771866 3.14423, 101.772713 3.143769, 101.77915 3.143705, 101.779226 3.14423, 101.778635 3.145482, 101.768958 3.152274, 101.766383 3.147674))",VAN ROUTE COVERAGE,AMP (KLR - MEDIUM)
43,AMPBRVC005 (TOWN),"TAMAN TASIK TAMBAHAN	1.1km<br>TAMAN MELUR	1.2km<br>TAMAN SAGA	2km<br>TAMAN SERAYA (JALAN BUNGA TANJUNG 1-10)	2.4km<br>TAMAN LEMBAH MAJU	2.5km<br>TAMAN TASIK PERMAI	2.5km<br>KAMPUNG LEMBAH JAYA SELATAN	3.2km<br>JALAN BUNGA KEMBOJA, TAMAN MUDA	3.2km<br>KAMPUNG AMPANG INDAH	3.4km<br>BUKIT BELACAN	4.1km<br>KAMPUNG LEMBAH JAYA UTARA	4.3km<br>TAMAN MULIA JAYA	4.9km<br>TAMAN AMPANG SAUJANA	5.2km","POLYGON ((101.752943 3.126906, 101.753038 3.119579, 101.756411 3.119706, 101.759303 3.119933, 101.759496 3.118299, 101.763273 3.118669, 101.762988 3.12132, 101.761562 3.121411, 101.761047 3.121368, 101.760912 3.121824, 101.759641 3.123308, 101.761025 3.124063, 101.760934 3.126966, 101.756685 3.126955, 101.752943 3.126906))",VAN ROUTE COVERAGE,AMP (KLR - MEDIUM)
