vehicle_no,GPSVendor,Model,Type,year_made,tail_lift,status,possession,admin_station_id,category_id,color_id,vehicle_owner_id,vehicle_group_id
BME 3342,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,AMP,284,20,16,4,4
BME 3351,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,SBI,494,20,16,4,92
BME 3409,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,HQ HUB,NULL,20,16,4,33
BMF 2943,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,HQ OPS,462,20,16,4,36
BMF 873,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,SGB,505,20,16,4,99
BMG 7846,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,BYN,323,20,16,4,21
BMH 6538,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,PKL,464,20,16,4,79
BMH 6545,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,THO,539,20,16,4,111
BMH 6549,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,SGB,505,20,16,4,99
BMH 6552,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,HQ OPS,462,20,16,4,36
BMJ 5206,GUS,Hino WU302R-HKMLHD3,Box Truck,2013,TRUE,A,HQ OSU,NULL,20,16,4,37
BMJ 5207,GUS,Hino WU302R-HKMLHD3,Box Truck,2013,TRUE,A,PKL,464,20,16,4,79
BMJ 5211,GUS,Hino WU302R-HKMLHD3,Box Truck,2013,TRUE,A,AOR,285,20,16,4,5
BMJ 5654,GUS,Hino WU302R-HKMLHD3,Box Truck,2013,TRUE,A,SDG,499,20,16,4,95
BMJ 6587,GUS,Hino WU302R-HKMLHD3,Box Truck,2013,TRUE,A,SGB,505,20,16,4,99
BMJ 6594,GUS,Hino WU640R-HKMLL3,Box Truck,2013,TRUE,A,JHB,351,20,16,4,41
BMJ 6601,GUS,Hino WU640R-HKMLL3,Box Truck,2013,TRUE,A,BSM,318,20,16,4,17
BMJ 7052,GUS,Hino WU640R-HKMLL3,Box Truck,2013,TRUE,A,SGB,505,20,16,4,99
BMJ 8359,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,BRP,315,20,16,4,16
BMJ 8375,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,BAN,292,20,16,4,7
BMJ 8433,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,KJG,372,20,16,4,50
BMK 1393,GUS,Toyota Hiace KDH200R-RBMDYE,Panel Van,2013,TRUE,A,KUA,405,15,16,4,59
BMK 1397,GUS,Toyota Hiace KDH200R-RBMDYE,Panel Van,2013,TRUE,A,NLI,449,15,16,4,73
BMK 1462,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,TKR,541,20,16,4,113
BMK 1536,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,NLI,449,20,16,4,73
BMK 1550,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,BRP,315,20,16,4,16
BMK 1554,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,CRS,328,20,16,4,23
BMK 1568,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,SDG,499,20,16,4,95
BMK 1583,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,STW,464,20,16,4,79
BMK 1590,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,SRB,521,20,16,4,107
BMK 1601,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,BPT,313,20,16,4,14
BMK 1606,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,KLG,378,20,16,4,53
BMK 1826,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,PEN,458,20,16,4,78
BMK 2464,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,KJG,372,20,16,4,50
BMK 2478,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,BYN,323,20,16,4,21
BMK 2485,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,MWT,446,20,16,4,71
BMK 3976,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,HQ OPS,462,20,16,4,36
BMK 3981,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,ISK,348,20,16,4,40
BMK 4069,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,BBU,294,20,16,4,8
BMK 4077,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,HQ OPS,462,20,16,4,36
BMK 4484,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,TKR,541,20,16,4,113
BMK 4486,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,SHM,508,20,16,4,101
BMK 4494,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,SBY,498,20,16,4,94
BMK 4498,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,HQ OPS,462,20,16,4,36
BMK 4575,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,BHU,304,20,16,4,10
BMK 4586,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,KJG,372,20,16,4,50
BMK 4628,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,HQ OPS,462,20,16,4,36
BMK 4633,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,PKN,465,20,16,4,80
BMK 4637,GUS,Isuzu NKR 55UEEH,Box Truck,2013,TRUE,A,BYN,353,20,16,4,43
BML 2427,GUS,Toyota Hiace KDH200R-RBMDYE,Panel Van,2013,TRUE,A,AOR,285,15,16,4,5
