vehicle_no,GPSVendor,Model,Type,year_made,tail_lift,status,possession,admin_station_id,category_id,color_id,vehicle_owner_id,vehicle_group_id
BNT 3560,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,KLA,376,20,16,5,52
BNT 3562,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,JHB,351,20,16,5,41
BNT 3563,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,GPA,343,20,16,5,29
BNT 3567,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,HQ OPS,462,20,16,5,36
BNT 3569,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,BAN,292,20,16,5,7
BNT 4207,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,PEN,458,20,16,5,78
BNT 4211,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,SPT,519,20,16,5,105
BNT 4214,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,PEN,458,20,16,5,78
BNT 4217,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,SBI,494,20,16,5,92
BNT 9497,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,MKZ,434,20,16,5,67
BNT 9498,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,MKZ,434,20,16,5,67
BNT 9506,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,BMJ,310,20,16,5,12
BNT 9509,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,SDG,499,20,16,5,95
BNT 9512,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,SKU,515,20,16,5,103
BNT 9517,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,SBI,494,20,16,5,92
BNT 9520,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,ULT,552,20,16,5,116
BNT 9524,GUS,Hino WU302R-HKMLHD3,Box Truck,2016,TRUE,A,AOR,285,20,16,5,5
