vehicle_no,<5,duration <5,>=5 and <10,duration >=5 and <10,>=10,duration >=10,total_idle_count,total_idle_duration
BLS3791,1.0,0.47,0.0,0.0,0.0,0.0,1.0,0.47
BPD2957,7.0,0.21,0.0,0.0,0.0,0.0,7.0,0.21
BPK9850,1.0,2.42,0.0,0.0,0.0,0.0,1.0,2.42
BPL4555,2.0,2.48,0.0,0.0,0.0,0.0,2.0,2.48
BQA5443,1.0,3.28,0.0,0.0,0.0,0.0,1.0,3.28
BPA6971,0.0,0.0,1.0,5.65,0.0,0.0,1.0,5.65
BPK2648,0.0,0.0,0.0,0.0,1.0,21.57,1.0,21.57
